Адрес;Цена;Объект;Площадь
ул.Стартовая,д. 13;3 600 000;1-комн. квартира;36 м2
ул.Солнечная,д. 2;2 200 000;1-комн. квартира;35.3 м2
ул.Володарского,д. 65;1 680 000;1-комн. квартира;34.3 м2
ул.Ярославская,д. 2;4 250 000;1-комн. квартира;37 м2
ул.Афанасия Никитина наб.,д. 54;3 880 000;1-комн. квартира;31 м2
ул.Макарова,д. 4, к1;7 000 000;1-комн. квартира;67.5 м2
ул.Новочеркасская,д. 50;3 600 000;1-комн. квартира;35.57 м2
ул.Орджоникидзе,д. 47;2 270 000;1-комн. квартира;30 м2
ул.Виноградова,д. 1;3 830 000;1-комн. квартира;40 м2
ул.Гусева б-р,д. 46;4 100 000;1-комн. квартира;38 м2
ул.Озёрная,д. 7, к9;5 150 000;1-комн. квартира;43 м2
ул.Академическая,д. 4;1 400 000;1-комн. квартира;39.3 м2
ул.Красина 2-я,д. 82;3 280 000;1-комн. квартира;41 м2
ул.Набережная Иртыша,д. 10;4 100 000;1-комн. квартира;41.2 м2
ул.Марии Смирновой,д. 1;4 690 000;1-комн. квартира;53.24 м2
ул.Оснабрюкская,д. 26;4 300 000;1-комн. квартира;46 м2
ул.Фрунзе,д. 20;3 350 000;1-комн. квартира;35.5 м2
ул.Бориса Полевого,д. 9;4 000 000;1-комн. квартира;45 м2
ул.Склизкова,д. 108, к1;5 800 000;1-комн. квартира;48.4 м2
ул.Фрунзе,д. 20;2 900 000;1-комн. квартира;37 м2
ул.Рябеевское ш.,д. 18;4 390 000;1-комн. квартира;43.9 м2
ул.Складская,д. Дом у Ручья, к2;3 800 000;1-комн. квартира;42.3 м2
ул.Гусева б-р,д. 47, к1;3 000 000;1-комн. квартира;38 м2
ул.Коминтерна,д. 91;3 150 000;1-комн. квартира;36 м2
ул.Гусева б-р,д. Гусева 62;3 000 000;1-комн. квартира;30.1 м2
ул.Гусева б-р,д. 57;3 990 000;1-комн. квартира;37.83 м2
ул.Псковская,д. 7;4 200 000;1-комн. квартира;43 м2
ул.Головинский пер.,д. 1;1 990 000;1-комн. квартира;40 м2
ул.Гусева б-р,д. 46;3 800 000;1-комн. квартира;38 м2
ул.Петербургское ш.,д. ЖК Топаз, к1;2 990 000;1-комн. квартира;30.2 м2
ул.Ильинское с.,д. 49;1 000 000;1-комн. квартира;38 м2
ул.Гусева б-р,д. 57;3 800 000;1-комн. квартира;38 м2
ул.Маршала Василевского,д. 16;2 445 000;1-комн. квартира;29.9 м2
ул.Псковская,д. Норвежский квартал;3 500 000;1-комн. квартира;43.3 м2
ул.Левитана,д. 48, к2;5 000 000;1-комн. квартира;35.2 м2
ул.Гагарина,д. 26;2 820 000;1-комн. квартира;31.7 м2
ул.Марии Смирновой,д. 1;4 390 000;1-комн. квартира;49.72 м2
ул.Медовая,д. 1в;3 330 000;1-комн. квартира;37.3 м2
ул.Склизкова,д. 108, к3;4 700 000;1-комн. квартира;51.1 м2
ул.Звездный пер.,д. 5;4 300 000;1-комн. квартира;43.38 м2
ул.Взлётная,д. 2;4 900 000;1-комн. квартира;46 м2
ул.Левитана,д. 58, к2;4 300 000;1-комн. квартира;40.6 м2
ул.Складская,д. Дом у Ручья, к2;3 850 000;1-комн. квартира;46.05 м2
"ул.Ткача,д. ЖК &quot;Шоколад&quot; 1 этап";4 020 000;1-комн. квартира;39.54 м2
ул.Большая Садовая,д. 46, к56;1 985 000;1-комн. квартира;30.7 м2
ул.Красные Горки,д. 39;1 900 000;1-комн. квартира;32.8 м2
ул.Квакшино д.,д. 16;1 450 000;1-комн. квартира;28.2 м2
ул.Хрустальная,д. 2, к1;2 890 000;1-комн. квартира;37.4 м2
ул.Громова,д. 7, к2;2 150 000;1-комн. квартира;29.8 м2
ул.Склизкова,д. 116, к6;4 990 000;1-комн. квартира;46 м2
ул.Московская,д. 1;4 600 000;1-комн. квартира;40.4 м2
"ул.Планерная,д. ЖК &quot;Созвездие&quot;";3 400 000;1-комн. квартира;37.5 м2
